# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
うえひがし,Uehigasi
うえひら,Uehira
うえま,Uema
うえまつ,Uematu
うえむら,Uemura
うえもと,Uemoto
うえもり,Uemori
うえやま,Ueyama
うおずみ,Uozumi
うおた,Uota
うおたに,Uotani
うおの,Uono
うおもと,Uomoto
うおや,Uoya
うか,Uka
うが,Uga
うかい,Ukai
うがい,Ugai
うかじ,Ukazi
うがじん,Ugazin
うかわ,Ukawa
うがわ,Ugawa
うきた,Ukita
うきはし,Ukihasi
うけがわ,Ukegawa
うこん,Ukon
うさ,Usa
うさみ,Usami
うさわ,Usawa
うざわ,Uzawa
うじ,Uzi
うじいえ,Uziie
うじえ,Uzie
うしお,Usio
うしおだ,Usioda
うじか,Uzika
うしかわ,Usikawa
うじがわ,Uzigawa
うしき,Usiki
うしく,Usiku
うしくぼ,Usikubo
うじけ,Uzike
うしこし,Usikosi
うしごめ,Usigome
うしざき,Usizaki
うじさと,Uzisato
うしざわ,Usizawa
うしじま,Usizima
うした,Usita
うしだ,Usida
うじた,Uzita
うしづ,Usizu
うじはら,Uzihara
うしまる,Usimaru
うじみや,Uzimiya
うしやま,Usiyama
うしろ,Usiro
うじろ,Uziro
うしろだ,Usiroda
うしろやま,Usiroyama
うしわた,Usiwata
うすい,Usui
うすき,Usuki
うすぎ,Usugi
うすくら,Usukura
うすた,Usuta
うすだ,Usuda
うすば,Usuba
うずまき,Uzumaki
うた,Uta
うだ,Uda
うたか,Utaka
うだか,Udaka
うたかわ,Utakawa
うたがわ,Utagawa
うだかわ,Udakawa
うだがわ,Udagawa
うたしろ,Utasiro
うたつ,Utatu
うち,Uti
うちいけ,Utiike
うちうみ,Utiumi
うちお,Utio
うちかい,Utikai
うちがさき,Utigasaki
うちかど,Utikado
うちかわ,Utikawa
うちがわ,Utigawa
うちき,Utiki
うちくら,Utikura
うちこし,Utikosi
うちごし,Utigosi
うちこば,Utikoba
うちさわ,Utisawa
うちざわ,Utizawa
うちじま,Utizima
うちぞの,Utizono
うちだ,Utida
うちの,Utino
うちのうみ,Utinoumi
うちば,Utiba
うちはし,Utihasi
うちばやし,Utibayasi
うちはら,Utihara
うちふじ,Utihuzi
うちべ,Utibe
うちほり,Utihori
うちぼり,Utibori
うちま,Utima
うちみ,Utimi
うちむら,Utimura
うちもと,Utimoto
うちや,Utiya
うちやま,Utiyama
うつ,Utu
うつき,Utuki
うつぎ,Utugi
うづき,Uzuki
うつだ,Utuda
うつの,Utuno
うつのみや,Utunomiya
うつみ,Utumi
うつみや,Utumiya
うてつ,Utetu
うと,Uto
うとう,Utô
うどう,Udô
うどの,Udono
うとみや,Utomiya
うぬま,Unuma
